mol_id,atom_id,score
A:NAG510,C1,0.0
A:NAG510,C2,0.0
A:NAG510,C3,0.0
A:NAG510,C4,0.0
A:NAG510,C5,0.0
A:NAG510,C6,0.0
A:NAG510,C7,0.0
A:NAG510,C8,0.0
A:NAG510,N9,0.0
A:NAG510,O10,0.0
A:NAG510,O11,0.0
A:NAG510,O12,0.0
A:NAG510,O13,0.0
A:NAG510,O14,0.0
A:NAG510,C15,0.0
A:NAG510,C16,0.0
A:NAG510,C17,0.0
A:NAG510,C18,0.0
A:NAG510,C19,0.0
A:NAG510,C20,0.0
A:NAG510,C21,0.0
A:NAG510,C22,0.0
A:NAG510,N23,0.0
A:NAG510,O24,0.0
A:NAG510,O25,0.0
A:NAG510,O26,0.0
A:NAG510,O27,0.0
A:NAG510,O28,0.0
A:NAG510,C29,0.0
A:NAG510,C30,0.0
A:NAG510,C31,0.0
A:NAG510,C32,0.0
A:NAG510,C33,0.0
A:NAG510,C34,0.0
A:NAG510,O35,0.0
A:NAG510,O36,0.0
A:NAG510,O37,0.0
A:NAG510,O38,0.0
A:NAG510,O39,0.0
A:NAG510,C40,0.0
A:NAG510,C41,0.0
A:NAG510,C42,0.0
A:NAG510,C43,0.0
A:NAG510,C44,0.0
A:NAG510,C45,0.0
A:NAG510,O46,0.0
A:NAG510,O47,0.0
A:NAG510,O48,0.0
A:NAG510,O49,0.0
A:NAG510,O50,0.0
A:NAG510,C51,0.0
A:NAG510,C52,0.0
A:NAG510,C53,0.0
A:NAG510,C54,0.0
A:NAG510,C55,0.0
A:NAG510,C56,0.0
A:NAG510,O57,0.0
A:NAG510,O58,0.0
A:NAG510,O59,0.0
A:NAG510,O60,0.0
A:NAG510,O61,0.0
A:CL516,Cl1,0.0
A:CL517,Cl1,0.0
A:097518,N1,12.1420001984
A:097518,C2,13.8559999466
A:097518,O3,10.2309999466
A:097518,C4,13.3500003815
A:097518,O5,12.1520004272
A:097518,C6,12.1820001602
A:097518,C7,10.5340003967
A:097518,C8,5.97900009155
A:097518,C9,4.86999988556
A:097518,C10,11.3559999466
A:097518,C11,1.22200000286
A:097518,N12,12.1619997025
A:097518,C13,11.4160003662
A:097518,O14,0.0
A:097518,C15,12.392999649
A:097518,O16,12.1009998322
A:097518,C17,13.8190002441
A:097518,C18,13.8559999466
A:097518,C19,13.8559999466
A:097518,C20,13.8559999466
A:097518,O21,13.3809995651
A:097518,C22,10.7670001984
A:097518,N23,8.86699962616
